node_id,degree,username
367,210,SpeakerPelosi
322,157,GOPLeader
393,111,RepBobbyRush
71,97,SenSchumer
399,89,SteveScalise
436,85,RepMarkTakano
179,84,rosadelauro
254,79,LeaderHoyer
105,75,RepJimBanks
87,71,SenWarren
428,68,RepStefanik
298,68,RepBarbaraLee
303,66,RepAndyLevin
113,65,RepAndyBiggsAZ
422,62,RepSpartz
461,62,RepBonnie
383,61,cathymcmorris
208,61,RepFranklin
315,59,RepMaloney
423,58,RepSpeier
269,57,RepMikeJohnson
335,56,RepMMM
263,56,RepJayapal
421,56,RepSpanberger
389,55,RepChipRoy
188,54,RepDonaldsPress
439,53,RepThompson
271,53,Jim_Jordan
26,52,SenJoniErnst
346,52,RepJerryNadler
17,51,JohnCornyn
50,51,SenatorLujan
147,51,RepCasten
148,51,USRepKCastor
296,51,RepLawrence
169,51,RepAngieCraig
370,51,RepPfluger
175,51,RodneyDavis
202,51,RepBrianFitz
171,50,RepJasonCrow
354,50,RepRalphNorman
467,49,RepNikema
137,49,RepKatCammack
27,48,SenFeinstein
155,48,RepKClark
136,47,RepCheri
464,47,RepWesterman
49,47,SenMikeLee
61,46,SenAlexPadilla
135,46,RepCori
429,46,RepBryanSteil
149,45,JoaquinCastrotx
215,45,RepChuyGarcia
321,45,RepLucyMcBath
236,45,RepRaulGrijalva
327,44,RepMcGovern
450,44,RepUnderwood
92,44,RepAdams
22,44,SenTedCruz
53,43,SenMarkey
138,43,RepCarbajal
376,43,RepPressley
192,43,RepTomEmmer
245,43,RepHerrell
31,43,ChuckGrassley
59,42,PattyMurray
154,42,RepJudyChu
24,42,SenDuckworth
64,42,senrobportman
143,42,RepBuddyCarter
446,42,RepRitchie
313,42,RepMalinowski
380,42,GReschenthaler
378,42,RepMikeQuigley
25,41,SenatorDurbin
46,41,SenAmyKlobuchar
58,41,ChrisMurphyCT
403,41,RepSchneider
72,41,SenRickScott
318,41,RepThomasMassie
455,41,NydiaVelazquez
323,41,RepMcCaul
116,41,RepDanBishop
341,40,RepGwenMoore
9,40,SenSherrodBrown
375,40,RepKatiePorter
112,40,RepBice
402,40,RepAdamSchiff
178,40,RepDianaDeGette
118,40,RepBoebert
111,39,RepDonBeyer
160,39,WhipClyburn
122,39,RepBowman
211,39,RepGallagher
350,39,RepTroyNehls
3,38,MarshaBlackburn
255,38,RepRichHudson
470,38,RepJoeWilson
54,38,SenatorMenendez
165,38,GerryConnolly
329,38,RepMcKinley
73,38,SenatorTimScott
223,38,RepTonyGonzales
242,38,RepHartzler
237,38,RepGrothman
164,38,RepJamesComer
84,37,ChrisVanHollen
190,37,RepJeffDuncan
139,37,RepCardenas
349,37,RepJoeNeguse
198,37,RepPatFallon
159,37,RepCloudTX
76,36,SenTinaSmith
88,36,SenWhitehouse
15,36,SenBillCassidy
386,36,RepRosendale
430,36,RepGregSteube
4,35,SenBlumenthal
32,35,SenatorHagerty
193,35,RepEscobar
452,35,RepBethVanDuyne
119,35,RepBonamici
351,35,RepNewhouse
365,35,BillPascrell
305,35,RepTedLieu
109,35,RepBeatty
319,35,RepBrianMast
405,34,RepKimSchrier
332,34,RepGraceMeng
220,34,replouiegohmert
301,34,RepDLesko
324,34,RepLisaMcClain
101,34,RepBrianBabin
69,34,marcorubio
274,34,RepJohnKatko
86,33,SenatorWarnock
80,33,SenJohnThune
70,33,SenSanders
234,33,RepMTG
66,33,SenatorRisch
279,33,RepRoKhanna
440,33,RepTiffany
343,33,RepMullin
290,33,RepLaMalfa
95,33,RepRickAllen
212,33,RepRubenGallego
344,33,RepGregMurphy
264,33,RepJeffries
74,32,SenatorShaheen
79,32,SenatorTester
268,32,RepHankJohnson
162,32,RepCohen
90,32,RonWyden
331,32,RepMeijer
337,32,RepMaryMiller
391,32,RepRaulRuizMD
77,31,SenStabenow
401,31,janschakowsky
293,31,RepJohnLarson
35,31,MartinHeinrich
52,31,Sen_JoeManchin
312,31,RepNancyMace
55,30,SenJeffMerkley
89,30,SenatorWicker
130,30,RepKenBuck
177,30,RepPeterDeFazio
270,30,RepMondaire
352,30,RepMarieNewman
127,30,RepShontelBrown
226,30,RepBobGood
396,30,RepMariaSalazar
120,30,RepBost
98,30,RepArrington
30,29,LindseyGrahamSC
246,29,CongressmanHice
251,29,RepAshleyHinson
8,29,SenatorBraun
410,29,RepTerriSewell
438,29,BennieGThompson
276,29,RepFredKeller
339,29,RepBarryMoore
231,29,RepGarretGraves
379,29,RepRaskin
182,29,RepValDemings
85,28,MarkWarner
447,28,RepLoriTrahan
442,28,repdinatitus
262,28,RepSaraJacobs
40,28,JimInhofe
417,28,RepAdrianSmith
330,28,RepGregoryMeeks
449,28,RepMikeTurner
186,28,RepDebDingell
14,27,SenBobCasey
286,27,CongressmanRaja
278,27,RepRobinKelly
371,27,RepDeanPhillips
23,27,SteveDaines
117,27,RepLBR
156,27,RepYvetteClarke
56,27,JerryMoran
426,27,RepPeteStauber
233,27,RepMarkGreen
294,27,boblatta
238,27,RepMichaelGuest
244,27,repkevinhern
283,27,RepYoungKim
184,27,RepTedDeutch
307,27,RepLoudermilk
466,26,RepSusanWild
7,26,JohnBoozman
408,26,BobbyScott
222,26,RepJimmyGomez
372,26,chelliepingree
16,26,ChrisCoons
134,26,michaelcburgess
277,26,MikeKellyPA
420,26,RepDarrenSoto
150,26,RepCawthorn
124,26,RepKevinBrady
12,25,SenatorCardin
374,25,repmarkpocan
13,25,SenatorCarper
47,25,SenatorLankford
161,25,Rep_Clyde
260,25,RepRonnyJackson
207,25,RepLoisFrankel
266,25,RepDustyJohnson
102,25,RepDonBacon
219,25,RepCarlos
248,25,RepClayHiggins
418,25,RepJasonSmith
355,25,EleanorNorton
228,25,RepGosar
474,25,RepLeeZeldin
456,25,RepAnnWagner
57,24,lisamurkowski
68,24,SenJackyRosen
415,24,RepSlotkin
20,24,SenKevinCramer
416,24,RepAdamSmith
37,24,maziehirono
33,24,SenatorHassan
65,24,SenJackReed
63,24,SenGaryPeters
311,24,RepElaineLuria
259,24,JacksonLeeTX18
469,24,RepWilson
132,24,RepTedBudd
218,24,RepBobGibbs
435,24,RepSwalwell
129,24,VernBuchanan
19,24,SenTomCotton
195,24,RepEspaillat
206,24,virginiafoxx
457,24,RepWalberg
158,24,RepBenCline
42,23,timkaine
358,23,Ilhan
214,23,RepGarbarino
174,23,WarrenDavidson
300,23,RepTeresaLF
249,23,RepFrenchHill
432,23,RepChrisStewart
384,23,RepMikeRogersAL
241,23,RepHarshbarger
427,23,RepSteel
167,23,RepJimCosta
258,23,repdarrellissa
11,22,SenCapito
2,22,SenatorBennet
205,22,RepBillFoster
387,22,RepDeborahRoss
424,22,Rep_Stansbury
51,22,SenLummis
431,22,RepHaleyStevens
326,22,RepMcEachin
209,22,RepRussFulcher
29,22,SenGillibrand
133,22,RepTimBurchett
338,22,RepAlexMooney
348,22,RepRichardNeal
243,21,RepJahanaHayes
281,21,RepDerekKilmer
400,21,RepMGS
142,21,RepAndreCarson
257,21,RepHuizenga
272,21,RepDaveJoyce
261,21,RepJacobs
302,21,RepJuliaLetlow
361,21,FrankPallone
253,21,RepHoulahan
369,21,RepScottPeters
328,21,PatrickMcHenry
0,20,SenatorBaldwin
18,20,SenCortezMasto
197,20,RepDwightEvans
473,20,RepJohnYarmuth
41,20,SenRonJohnson
382,20,RepTomRice
385,20,RepJohnRose
407,20,AustinScottGA08
104,20,RepBalderson
141,20,RepJerryCarl
310,20,RepBlaine
295,20,RepLaTurner
412,20,RepSherrill
390,20,RepRoybalAllard
388,20,RepDavidRouzer
140,20,RepMikeCarey
333,20,RepMeuser
451,20,RepDavidValadao
325,19,BettyMcCollum04
6,19,CoryBooker
444,19,RepPaulTonko
43,19,SenMarkKelly
200,19,RepDrewFerguson
471,19,RobWittman
128,19,RepBrownley
1,19,SenJohnBarrasso
459,19,michaelgwaltz
107,19,RepBarragan
185,19,MarioDB
172,19,RepJohnCurtis
472,19,rep_stevewomack
304,19,RepMikeLevin
273,19,RepJohnJoyce
126,18,RepAnthonyBrown
75,18,SenatorSinema
256,18,RepHuffman
10,18,SenatorCantwell
180,18,RepDelBene
336,18,RepCarolMiller
96,18,RepColinAllred
44,18,SenJohnKennedy
360,18,CongPalazzo
289,18,RepLaHood
203,18,RepChuck
265,18,RepBillJohnson
317,18,RepKManning
210,18,RepMattGaetz
239,18,RepGuthrie
163,18,TomColeOK04
229,17,RepJoshG
299,17,RepSusieLee
48,17,SenatorLeahy
21,17,MikeCrapo
201,17,RepFischbach
443,17,RepRashida
45,17,SenAngusKing
114,17,RepGusBilirakis
199,17,RepFeenstra
340,17,RepBlakeMoore
67,17,SenatorRomney
359,17,RepBurgessOwens
221,17,RepGolden
320,17,DorisMatsui
468,17,RepRWilliams
100,17,RepCindyAxne
108,17,RepKarenBass
34,17,HawleyMO
224,16,RepJenniffer
460,16,RepDWStweets
91,16,SenToddYoung
110,16,RepBera
38,16,SenJohnHoeven
81,16,SenThomTillis
82,16,SenToomey
368,16,RepPerlmutter
364,16,RepChrisPappas
445,16,NormaJTorres
409,16,PeteSessions
125,16,RepMoBrooks
191,16,DrNealDunnFL2
362,16,USRepGaryPalmer
448,15,RepDavidTrone
411,15,BradSherman
287,15,RepAnnieKuster
157,15,repcleaver
347,15,gracenapolitano
267,15,RepEBJ
145,15,RepTroyCarter
152,15,RepLizCheney
97,15,RepArmstrongND
291,15,JimLangevin
441,15,RepTimmons
363,15,RepJimmyPanetta
394,15,RepTimRyan
106,15,RepAndyBarr
170,15,RepCharlieCrist
453,15,RepJuanVargas
204,15,RepFletcher
308,15,RepLowenthal
217,14,RepSylviaGarcia
465,14,RepWexton
433,14,RepStricklandWA
176,14,RepDean
275,14,USRepKeating
99,14,RepAuchincloss
353,14,DonaldNorcross
173,14,RepDavids
458,14,RepWalorski
181,14,repdelgado
252,14,RepHorsford
235,14,RepMGriffith
227,14,Lancegooden
292,13,RepRickLarsen
39,13,SenHydeSmith
216,13,RepMikeGarcia
93,13,Robert_Aderholt
288,13,RepDavidKustoff
168,12,RepJoeCourtney
392,12,Call_Me_Dutch
398,12,RepSarbanes
36,12,SenatorHick
5,12,RoyBlunt
83,12,SenTuberville
342,12,RepJoeMorelle
345,12,RepStephMurphy
314,12,RepMalliotakis
151,12,RepSteveChabot
62,12,RandPaul
406,12,RepDavid
194,11,RepAnnaEshoo
78,11,SenDanSullivan
103,11,RepJimBaird
282,11,RepAndyKimNJ
131,11,RepLarryBucshon
397,11,RepLindaSanchez
357,11,JayObernolte
454,10,RepVeasey
247,10,RepBrianHiggins
306,10,USRepLong
60,10,ossoff
183,10,RepDeSaulnier
381,10,RepKathleenRice
121,10,RepBourdeaux
225,10,RepGonzalez
144,10,JudgeCarter
284,10,RepRonKind
166,10,RepLouCorrea
356,10,RepOHalleran
250,9,jahimes
377,9,RepDavidEPrice
309,9,RepFrankLucas
187,9,RepLloydDoggett
28,8,SenatorFischer
94,8,RepPeteAguilar
462,8,RepWebster
316,8,RepSeanMaloney
373,8,StaceyPlaskett
414,8,RepSires
366,8,RepDonaldPayne
115,8,SanfordBishop
297,8,RepAlLawsonJr
280,7,RepDanKildee
463,7,PeterWelch
419,7,RepSmucker
153,7,CongresswomanSC
189,7,USRepMikeDoyle
232,7,RepAlGreen
196,7,RepRonEstes
146,7,RepEdCase
213,6,RepGaramendi
334,6,RepKweisiMfume
413,6,CongMikeSimpson
425,6,RepGregStanton
123,5,CongBoyle
240,5,RepJoshHarder
434,5,RepTomSuozzi
230,4,RepKayGranger
285,4,RepKirkpatrick
404,4,RepSchrader
437,2,claudiatenney
395,1,Kilili_Sablan
